model,publication_date,year,organization,domain,task,parameters,training_compute_flop,training_dataset_size_total,log10_parameters,log10_training_compute_flop,log10_training_dataset_size_total,parameters_provenance,training_compute_provenance,training_dataset_provenance,parameters_algorithm_imputed_flag,training_compute_algorithm_imputed_flag,training_dataset_algorithm_imputed_flag,reasoning_flag,tool_use_flag,agentic_flag,chat_flag,code_flag,multimodal_flag,historical_architecture_anchor,open_model_weights_code,foundation_model_flag,frontier_model_flag,imputed_any_flag
GPT-4 (Jun 2023),2023-06-13,2023,OpenAI,"Multimodal,Language,Vision","Language modeling,Language modeling/generation,Question answering,Visual question answering",1.8e+12,2.1e+25,5.41666666667e+12,12.2552725051,25.3222192947,12.7337321106,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,1,0,0,1,1,0
ERNIE 3.5,2023-06-27,2023,Baidu,Language,"Language modeling,Language modeling/generation",11912178642,3.52464636524e+23,2.73313007374e+12,10.0759911977,23.5471155499,12.4366603009,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
InternLM,2023-07-06,2023,"Shanghai AI Lab,SenseTime",Language,Language modeling,104000000000,9.984e+23,1.6e+12,11.0170333393,23.9993045723,12.2041199827,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Claude 2,2023-07-11,2023,Anthropic,Language,"Language modeling,Chat,Language modeling/generation,Question answering",1.04e+12,3.866e+24,1.48e+13,12.0170333393,24.5872618497,13.1702617154,mice_pmm,epoch_source_estimate,mice_pmm,1,0,1,0,0,0,1,0,0,0,0,1,1,1
GPT3-2.7B (FlashAttention-2),2023-07-18,2023,"Stanford University,Princeton University",Language,Language modeling/generation,2700000000,1.11509640839e+21,292738791.417,9.43136376416,21.047312417,8.4664802755,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Llama 2-70B,2023-07-18,2023,Meta AI,Language,"Language modeling,Language modeling/generation,Question answering",70000000000,8.1e+23,2e+12,10.84509804,23.9084850189,12.3010299957,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Llama 2-7B,2023-07-18,2023,Meta AI,Language,Language modeling,7000000000,8.4e+22,2e+12,9.84509804001,22.9242792861,12.3010299957,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Qwen-VL,2023-08-24,2023,Alibaba,"Multimodal,Language,Vision","Image captioning,Chat,Question answering,Visual question answering",9600000000,6.51628859091e+22,500000000000,9.98227123304,22.8140003099,11.6989700043,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,1,0,1,0,1,0,0,1
Jais,2023-08-29,2023,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception G42",Language,"Language modeling,Chat,Translation,Language modeling/generation,Question answering",13000000000,4.8946763e+22,395000000000,10.1139433523,22.6897239759,11.5965970956,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Falcon-180B,2023-09-06,2023,Technology Innovation Institute,Language,"Language modeling,Language modeling/generation,Question answering",180000000000,3.76e+24,3.5e+12,11.2552725051,24.5751878449,12.5440680444,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,1,0
GPT-4V,2023-09-25,2023,OpenAI,"Multimodal,Vision,Language","Language modeling,Visual question answering",31799371063,4.40501759361e+23,666198168716,10.5024185305,23.6439476473,11.8236034345,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Amazon Titan,2023-09-28,2023,Amazon,"Language,Image generation","Semantic search,Image generation,Language modeling/generation,Code generation,Chat,Text-to-image,Translation",200000000000,4.8e+24,4e+12,11.3010299957,24.6812412374,12.6020599913,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,1,1,1,0,0,0,1,0
GPT-3.5 Turbo Instruct,2023-09-28,2023,OpenAI,Language,"Language modeling/generation,Question answering,Chat",20000000000,4.3e+23,108861379745,10.3010299957,23.6334684556,11.0368738344,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,1,0,0,0,0,0,0,1
FinGPT-13B,2023-10-07,2023,"University of California Los Angeles (UCLA),Columbia University,New York University (NYU)",Language,"Named entity recognition (NER),Sentiment classification,Language modeling/generation,Financial management",13000000000,1.6e+23,76800,10.1139433523,23.2041199827,4.88536122003,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ferret (13B),2023-10-11,2023,"Columbia University,Apple","Multimodal,Language,Vision","Object recognition,Language modeling",13000000000,1.57e+22,172649572,10.1139433523,22.1958996524,8.23716550607,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,1,0,1,0,0,1
ERNIE 4.0,2023-10-17,2023,Baidu,"Multimodal,Language,Video,Image generation","Chat,Language modeling/generation,Video generation,Image generation",634507683169,3.5e+24,1.48e+13,11.8024368853,24.5440680444,13.1702617154,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,1,0,1
PaLI-3,2023-10-17,2023,"Google DeepMind,Google Research,Google Cloud","Multimodal,Language,Vision","Visual question answering,Character recognition (OCR),Image captioning",5000000000,1.93649477149e+22,143507000000,9.69897000434,22.2870163287,11.1568730856,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,0,0,0,1
CODEFUSION (Python),2023-10-26,2023,"Microsoft,Microsoft Research",Language,Code generation,75000000,7.92e+18,4390400,7.87506126339,18.8987251816,6.64250408969,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ChatGLM3-6B,2023-10-27,2023,Z.ai (Zhipu AI),"Multimodal,Language,Vision","Chat,Visual question answering,Code generation",6000000000,5.04e+22,1.4e+12,9.77815125038,22.7024305364,12.1461280357,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,1,1,1,0,1,1,0,0
Skywork-13B,2023-10-30,2023,Kunlun Inc.,Language,"Language modeling,Language modeling/generation,Translation",13000000000,2.5e+23,3.2e+12,10.1139433523,23.3979400087,12.5051499783,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Yi-34B,2023-11-02,2023,01.AI,Language,"Chat,Language modeling/generation,Translation,Code generation",34000000000,6.1e+23,3.1e+12,10.531478917,23.785329835,12.4913616938,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,1,0,0,1,0,0,0
BLUUMI,2023-11-03,2023,"University of Turku,Hugging Face",Language,Language modeling,176000000000,1.25e+24,38000000000,11.2455126678,24.096910013,10.5797835966,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,0,0,0,0,1,1,0,1
Grok-1,2023-11-04,2023,xAI,Language,"Language modeling,Chat",314000000000,2.90000000001e+24,6.2e+12,11.4969296481,24.4623979979,12.7923916895,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,1,0,0,0,1,1,0,0
LLaVA 1.5,2023-11-05,2023,"University of Wisconsin Madison,Microsoft Research","Multimodal,Language,Vision","Chat,Question answering,Visual question answering",13000000000,7.807e+22,167000000000,10.1139433523,22.8924841794,11.2227164711,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,1,0,1,0,1,0,0,1
CogVLM-17B,2023-11-06,2023,"Tsinghua University,Z.ai (Zhipu AI),Beihang University","Multimodal,Vision,Language","Image captioning,Visual question answering,Chat",17000000000,6.331e+22,1e+12,10.2304489214,22.8014723135,12,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,1,0,1,0,1,1,0,1
GPT-4 Turbo (Nov 2023),2023-11-06,2023,OpenAI,"Multimodal,Vision,Language,Image generation","Chat,Language modeling/generation,Image generation,Speech synthesis,Table tasks,Visual question answering,Image captioning",1e+12,2.1e+25,1.48e+13,12,25.3222192947,13.1702617154,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,1,1,1
mPLUG-Owl2,2023-11-07,2023,Alibaba,"Vision,Language,Multimodal","Visual question answering,Image captioning,Language modeling/generation",7120000000,5.04e+22,182032793600,9.85247999364,22.7024305364,11.2601496341,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,0,0,1,0,1,0,0,1
RoFormer,2023-11-08,2023,Zhuiyi Technology,Language,"Text classification,Language modeling/generation",110000000,2.162688e+18,3276800000,8.04139268516,18.3349938705,9.51544993496,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPHINX (Llama 2 13B),2023-11-13,2023,"Shanghai AI Lab,Chinese University of Hong Kong (CUHK),ShanghaiTech University","Vision,Language,Multimodal","Visual question answering,Image captioning",19900000000,3.04e+22,132527914041,10.2988530764,22.4828735836,11.1223073623,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,1,0,1,0,0,1
Volcano 13B,2023-11-13,2023,"Korea University,Korea Advanced Institute of Science and Technology (KAIST),LG","Language,Multimodal,Vision","Language modeling/generation,Visual question answering",13000000000,4.56e+22,46400000000,10.1139433523,22.6589648427,10.6665179806,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,1,0,1,0,0,1
Qwen-Audio-Chat,2023-11-14,2023,Alibaba,"Language,Speech,Audio","Audio question answering,Chat,Speech recognition (ASR),Translation,Transcription,Text classification,Question answering,Audio classification,Voice identification,Part-of-speech tagging,Speech-to-speech",8460000000,1.62100709437e+23,2.4899799196e+12,9.92737036304,23.2097849156,12.3961958447,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,1,0,1,0,1,0,0,1
Nemotron-3-8B,2023-11-15,2023,NVIDIA,Language,"Chat,Language generation,Language modeling/generation,Translation,Code generation,Question answering",8000000000,1.8e+23,3.8e+12,9.90308998699,23.2552725051,12.5797835966,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,1,0,0,1,0,0,0
AndesGPT,2023-11-16,2023,Oppo Mobile Telecommunications,Language,"Language modeling/generation,Question answering",18439088914.6,5.77498051945e+23,3e+12,10.2657394585,23.7615505236,12.4771212547,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Claude 2.1,2023-11-21,2023,Anthropic,Language,"Language modeling,Chat,Language modeling/generation,Question answering",469101268385,3.52249911285e+24,9.02219485491e+12,11.6712666072,24.5468508924,12.9553122024,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,0,0,0,1,0,1
Inflection-2,2023-11-22,2023,Inflection AI,Language,"Language modeling,Language modeling/generation,Chat,Question answering",671000000000,1.001e+25,1.08995412748e+13,11.8267225202,25.0004340775,13.0374082203,mice_pmm,epoch_source_estimate,mice_pmm,1,0,1,0,0,0,1,0,0,0,0,1,1,1
PPLX-70B-Online,2023-11-29,2023,Perplexity,Language,"Question answering,Chat,Language modeling/generation",70000000000,5.4949977252e+23,3.8e+12,10.84509804,23.739967517,12.5797835966,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Qwen-72B,2023-11-30,2023,Alibaba,Language,"Chat,Code generation,Language modeling/generation,Question answering",72000000000,1.3e+24,3e+12,10.8573324964,24.1139433523,12.4771212547,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Gemini 1.0 Pro,2023-12-06,2023,Google DeepMind,"Multimodal,Language,Vision","Language modeling,Visual question answering,Chat,Translation",13000000000,3.96529343177e+23,1.18321595662e+12,10.1139433523,23.5982753306,12.0730640178,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,0,0,1
Gemini 1.0 Ultra,2023-12-06,2023,Google DeepMind,"Multimodal,Language,Vision","Language modeling,Visual question answering,Chat,Translation",242383992871,5.0000000001e+25,1.48e+13,11.3845039355,25.6989700043,13.1702617154,mice_pmm,epoch_source_estimate,mice_pmm,1,0,1,0,0,0,1,0,1,0,0,0,1,1
Llama Guard,2023-12-07,2023,Meta AI,Language,Chat,7000000000,1.6e+23,4096000,9.84509804001,23.2041199827,6.61235994797,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Mixtral 8x7B,2023-12-11,2023,Mistral AI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Translation",46700000000,7.74e+23,111800000000,10.6693168806,23.8887409607,11.0484418036,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,1,0,0,0,0,0,0,1,0,0,1
VILA-13B,2023-12-12,2023,"NVIDIA,Massachusetts Institute of Technology (MIT)","Multimodal,Language,Vision","Chat,Visual question answering,Image captioning,Language modeling/generation,Question answering",13350839296,2.3003136e+21,32430000000,10.1255085683,21.3617870471,10.5109469487,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,1,0,1,0,1,0,0,0
CogAgent,2023-12-14,2023,"Tsinghua University,Z.ai (Zhipu AI)","Vision,Language","Instruction interpretation,Visual question answering",18000000000,6.707e+22,189034726711,10.2552725051,22.8265283063,11.2765415938,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,1,0,1,0,0,1
FunSearch,2023-12-14,2023,Google DeepMind,"Language,Search",Code generation,15000000000,3.87e+23,668000000000,10.1760912591,23.587710965,11.8247764625,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,1,0,0,1,0,0,1
Gemini Nano-1,2023-12-19,2023,Google DeepMind,"Multimodal,Language,Vision,Audio","Chat,Image captioning,Speech recognition (ASR)",1800000000,7.80594992938e+22,384870107959,9.2552725051,22.8924257612,11.5853141817,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,1,0,1,0,0,0,0,1
Gemini Nano-2,2023-12-19,2023,Google DeepMind,"Multimodal,Language,Vision,Audio","Chat,Image captioning,Speech recognition (ASR)",3250000000,2.61533936612e+22,407031949606,9.51188336098,22.4175280509,11.6096285001,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,1,0,1,0,0,0,0,1
nekomata-14b,2023-12-21,2023,rinna,Language,Language generation,14200000000,2.5562e+23,66000000000,10.1522883444,23.4075948305,10.8195439355,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GQA-8-XXL,2023-12-23,2023,Google Research,Language,"Text summarization,Language modeling/generation,Translation",11000000000,3.4912896e+22,67498148122.7,10.0413926852,22.5429858747,10.8292918577,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CoRe,2023-12-29,2023,Tsinghua University,"Mathematics,Language","Quantitative reasoning,Language modeling/generation",12400000000,1.50828710795e+22,1040000000,10.0934216852,22.1784840189,9.0170333393,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,1,0,0,0,0,0,0,0,0,0,1
Kimi Explorer,2024-01-01,2024,Moonshot,Language,Language modeling/generation,124899959968,4.5519226707e+23,1.14891252931e+13,11.0965622992,23.6581948755,13.0602869656,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Palmyra X 003,2024-01-01,2024,Writer,Language,Language modeling/generation,72000000000,3.90704491912e+23,207489999759,10.8573324964,23.5918484043,11.3169971702,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Qwen-VL-Max,2024-01-25,2024,Alibaba,"Multimodal,Language,Vision","Chat,Image captioning,Face recognition,Visual question answering",7000000000,7.80594992938e+22,868481433308,9.84509804001,22.8924257612,11.9387605384,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,1,0,1,0,0,0,0,1
Qwen1.5-72B,2024-02-04,2024,Alibaba,Language,"Chat,Language modeling/generation,Quantitative reasoning,Code generation,Translation",72000000000,1.3e+24,3e+12,10.8573324964,24.1139433523,12.4771212547,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,1,1,0,0,1,0,0,0
Aya,2024-02-12,2024,"Cohere for AI,Brown University,Cohere,Carnegie Mellon University (CMU),Massachusetts Institute of Technology (MIT)",Language,"Language modeling/generation,Chat,Translation",13000000000,8.00108742609e+22,1.14422e+12,10.1139433523,22.9031490159,12.0585095346,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,1,0,0,0,1,0,0,1
Gemini 1.5 Pro,2024-02-15,2024,Google DeepMind,"Language,Multimodal","Language modeling,Visual question answering",91651513899.1,3.69056133942e+24,3.6e+12,10.962139643,24.567092428,12.5563025008,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,1,1
MegaScale (Production),2024-02-23,2024,"ByteDance,Peking University",Language,Language modeling/generation,530000000000,3.9e+24,375000000000,11.7242758696,24.591064607,11.5740312677,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mistral Large,2024-02-26,2024,Mistral AI,Language,Chat,72000000000,2.29720830575e+24,7.35980072194e+12,10.8573324964,24.3612003778,12.8668660553,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,0,0,0,0,0,1
Aramco Metabrain AI,2024-03-04,2024,Saudi Aramco,Language,Language modeling/generation,250000000000,1.05e+25,7e+12,11.3979400087,25.0211892991,12.84509804,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claude 3 Opus,2024-03-04,2024,Anthropic,"Multimodal,Language,Vision","Chat,Image captioning,Code generation,Language modeling/generation",579223618303,3.97391494625e+24,1.91833260933e+13,11.7628462623,24.5992185677,13.2829239093,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,1,1,0,0,0,1,1
Claude 3 Sonnet,2024-03-04,2024,Anthropic,"Multimodal,Language,Vision","Chat,Image captioning,Code generation,Language modeling/generation",120995867698,2.13179924008e+24,1.20498962651e+13,11.0827705384,24.3287463031,13.0809833082,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,1,1,0,0,0,0,1
Inflection-2.5,2024-03-07,2024,Inflection AI,Language,Chat,72354129115.1,8.000001e+24,1.55e+13,10.8594633205,24.9030900413,13.1903316982,mice_pmm,epoch_source_estimate,mice_pmm,1,0,1,0,0,0,1,0,0,0,0,0,0,1
MM1-30B,2024-03-14,2024,Apple,"Multimodal,Language,Vision","Chat,Image captioning,Visual question answering",30000000000,4.86e+23,191507180022,10.4771212547,23.6866362693,11.2821850613,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,1,0,1,0,0,0,0,1
DBRX,2024-03-27,2024,Databricks,Language,"Chat,Code generation",132000000000,2.6e+24,1.2e+13,11.1205739312,24.414973348,13.079181246,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,1,0,0,1,0,0,0
ReALM,2024-03-29,2024,Apple,Language,"Named entity recognition (NER),Language modeling,Part-of-speech tagging",3000000000,1.449e+22,134000000000,9.47712125472,22.1610683855,11.1271047984,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,0,0,0,1
GPT-4 Turbo (Apr 2024),2024-04-09,2024,OpenAI,"Multimodal,Vision,Language,Image generation","Chat,Language modeling/generation,Image generation,Speech synthesis,Table tasks,Visual question answering,Image captioning",1.01980390272e+12,1.8e+25,1.27593103262e+13,12.0085166696,25.2552725051,13.1058272003,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,1,1,1
Reka Core,2024-04-15,2024,Reka AI,"Multimodal,Language,Vision,Video,Speech","Chat,Language modeling/generation,Image captioning,Code generation,Code autocompletion,Question answering,Visual question answering,Video description,Speech recognition (ASR),Speech-to-text,Quantitative reasoning",67000000000,8.40001e+24,1e+13,10.8260748027,24.9242798031,13,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,1,0,0,1,1,1,0,0,0,0,1
Llama 3-70B,2024-04-18,2024,Meta AI,Language,"Chat,Language modeling/generation,Code generation",70000000000,7.861e+24,1.5e+13,10.84509804,24.8954777963,13.1760912591,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,1,0,0,1,0,0,0
VILA1.5-13B,2024-05-03,2024,"NVIDIA,Massachusetts Institute of Technology (MIT)","Multimodal,Language,Vision,Video","Chat,Visual question answering,Image captioning,Language modeling/generation,Question answering",13493916736,2.3003136e+21,32430000000,10.130138026,21.3617870471,10.5109469487,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,1,0,1,0,1,0,0,0
GPT-4o,2024-05-13,2024,OpenAI,"Multimodal,Language,Audio,Speech,Vision","Chat,Image generation,Audio generation,Vision-language generation,Table tasks,Language modeling/generation,Question answering,Speech recognition (ASR),Speech-to-text",519615242271,5.69210026264e+24,7.4e+12,11.7156818821,24.7552725413,12.8692317197,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,0,1,1
Yi-Large,2024-05-13,2024,01.AI,Language,"Chat,Language modeling/generation",100000000000,1.8e+24,3e+12,11,24.2552725051,12.4771212547,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GLM-4 (0520),2024-05-20,2024,Z.ai (Zhipu AI),Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Translation",357499650349,3.39852909359e+24,1e+13,11.5532756214,24.5312909921,13,mice_pmm,mice_pmm,epoch_source_estimate,1,1,0,1,0,0,0,1,0,0,0,0,0,1
ALLaM adapted 70B,2024-05-21,2024,Saudi Data and Artificial Intelligence Authority,Language,"Language modeling/generation,Translation,Question answering",70000000000,1.062e+24,600000000000,10.84509804,24.0261245167,11.7781512504,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qwen2-72B,2024-06-07,2024,Alibaba,Language,"Chat,Language modeling/generation,Question answering",72710000000,3.02e+24,7e+12,10.8615941446,24.480006943,12.84509804,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Nemotron-4 340B,2024-06-14,2024,NVIDIA,Language,"Language modeling/generation,Chat,Question answering",340000000000,1.8e+25,9e+12,11.531478917,25.2552725051,12.9542425094,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,0,0,0,1,0,1,0
DeepSeek-Coder-V2 236B,2024-06-17,2024,DeepSeek,Language,"Code generation,Code autocompletion",236000000000,1.2852e+24,3.191e+12,11.372912003,24.1089707169,12.5039268042,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Claude 3.5 Sonnet,2024-06-20,2024,Anthropic,"Multimodal,Language,Vision","Chat,Image captioning,Code generation,Language modeling/generation",1.04e+12,2.7e+25,1.32e+13,12.0170333393,25.4313637642,13.1205739312,mice_pmm,epoch_source_estimate,mice_pmm,1,0,1,0,0,0,1,1,1,0,0,0,1,1
Cambrian-1-34B,2024-06-24,2024,New York University (NYU),"Multimodal,Vision,Language","Image captioning,Visual question answering,Character recognition (OCR)",34000000000,8.00108742609e+22,154808491369,10.531478917,22.9031490159,11.1897947784,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,1,0,0,1
Ernie 4.0 Turbo,2024-06-28,2024,Baidu,"Multimodal,Language,Vision","Vision-language generation,Language modeling/generation,Question answering,Chat,Visual question answering",202336353629,8.00312438989e+23,1.48e+13,11.3060739192,23.903259567,13.1702617154,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,0,0,1
SenseChat 5.5,2024-07-06,2024,SenseTime,"Multimodal,Language,Vision","Vision-language generation,Visual question answering,Language modeling/generation,Question answering,Chat,Quantitative reasoning",600000000000,4.752e+24,1.5247950682e+13,11.7781512504,24.676876432,13.1832114786,strict_observed,mice_pmm,mice_pmm,0,1,1,1,0,0,1,0,1,0,0,0,0,1
Mathstral,2024-07-16,2024,Mistral AI,"Mathematics,Language","Mathematical reasoning,Language modeling/generation,Quantitative reasoning",7000000000,3.7065482595e+23,774596669241,9.84509804001,23.568969659,11.8890756252,strict_observed,mice_pmm,mice_pmm,0,1,1,1,0,0,0,0,0,0,1,0,0,1
GPT-4o mini,2024-07-18,2024,OpenAI,"Language,Multimodal,Vision","Chat,Language modeling/generation,Code generation,Visual question answering",119875310219,1.94699768875e+24,3.3406586177e+12,11.0787297441,24.289365436,12.5238320973,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,1,1,0,0,0,0,1
Llama 3.1-405B,2024-07-23,2024,Meta AI,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning",405000000000,3.8e+25,1.56e+13,11.6074550232,25.5797835966,13.1931245984,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,0,0,1,0,1,0
Mistral Large 2,2024-07-24,2024,Mistral AI,Language,"Language modeling/generation,Translation,Code generation",123000000000,2.74937083712e+24,2e+12,11.0899051114,24.4392333217,12.3010299957,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,1,0,0,1,0,0,1
AFM-on-device,2024-07-29,2024,Apple,Language,Language modeling/generation,2730000000,4.5126e+23,7.588e+12,9.43616264704,23.6544268391,12.8801273222,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFM-server,2024-07-29,2024,Apple,Language,Language modeling/generation,96747092979.6,4.3e+24,7.4e+12,10.9856379244,24.6334684556,12.8692317197,mice_pmm,epoch_source_estimate,epoch_source_estimate,1,0,0,0,0,0,0,0,0,0,0,0,0,1
GPT-4o (Aug 2024),2024-08-06,2024,OpenAI,"Multimodal,Language,Audio,Speech,Vision","Chat,Image generation,Audio generation,Vision-language generation,Table tasks,Language modeling/generation,Question answering,Speech recognition (ASR),Speech-to-text",423083916026,6.804e+24,7.71902411794e+12,11.6264265155,24.8327643049,12.8875623979,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,0,1,1
LLaVA-OV-72B,2024-08-06,2024,"ByteDance,Nanyang Technological University,Chinese University of Hong Kong (CUHK),Hong Kong University of Science and Technology (HKUST)","Multimodal,Vision,Language,Video","Image captioning,Visual question answering,Video description,Object recognition,Action recognition,Language modeling/generation",72000000000,3.03655198582e+24,38314782000,10.8573324964,24.4823807207,10.5833663589,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Grok-2,2024-08-13,2024,xAI,"Language,Vision,Multimodal","Chat,Language modeling/generation,Question answering,Code generation,Visual question answering",1.04e+12,2.96e+25,1.48e+13,12.0170333393,25.4712917111,13.1702617154,mice_pmm,strict_observed,mice_pmm,1,0,1,0,0,0,1,1,1,0,0,0,1,1
Jamba 1.5-Large,2024-08-22,2024,AI21 Labs,Language,"Language modeling/generation,Chat,Translation,Question answering",398000000000,4.94e+24,1.04880884817e+13,11.5998830721,24.6937269489,13.0206963426,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,1,0,0,0,1,0,0,1
GLM-4-Plus,2024-08-29,2024,Z.ai (Zhipu AI),Language,Language modeling,868331733844,6.6e+24,1.48e+13,11.9386856729,24.8195439355,13.1702617154,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Hairuo,2024-08-29,2024,Inspur,Language,"Language modeling/generation,Question answering",25768197453.5,1.64316767252e+24,7e+12,10.4110840397,24.2156818821,12.84509804,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
